# Undirected graph (each unordered pair of nodes is saved once): 0.05-com-dblp.ungraph.txt
# Nodes: 15854 Edges: 2608
# NodeId	NodeId
28497	223223
372078	392132
233764	278540
258178	298290
57051	290359
133152	133153
50828	170810
50828	219514
50828	230684
50828	414330
170810	230684
26358	93699
163850	174963
163850	321158
200394	287307
18509	35007
421276	421277
117287	378692
407044	407045
50540	98112
50540	129551
50540	162507
182945	197872
57608	87440
57608	306275
80617	80618
410091	416612
4865	28365
4865	55002
74535	136498
74535	361018
366660	400507
10333	154784
40392	95393
40392	359373
40392	376386
70450	94415
67681	187869
49077	49078
61784	140254
61784	407016
15513	148496
237910	393114
137668	234171
28860	49284
28860	102080
28860	108080
168890	375845
289502	300691
161042	267009
146796	154574
146796	218901
167347	262186
239332	295680
40007	85392
24303	53745
24303	61742
24303	72324
24303	93339
24303	123336
24303	135285
24303	196941
24303	326348
98256	232708
185615	185622
210760	210763
231015	237729
11705	213577
182678	272602
129771	129772
254240	305511
171230	171232
119673	371138
62788	175299
45768	133724
30697	81405
30697	95407
90685	182293
342273	356906
341744	387276
370162	390786
199707	221519
157512	157513
89317	144031
296565	394270
296565	394271
296565	403149
222294	385252
63155	171620
7148	19523
7148	19588
17628	33577
17628	58015
17628	88482
17628	89291
17628	149898
17628	322260
17628	369218
197114	308640
99746	112130
99746	180560
99746	194737
99746	331635
155379	169123
131987	229394
78038	410932
55613	151995
69432	71241
370165	417419
322909	346045
360045	374563
166931	220407
180203	332984
54340	268860
79975	292567
111955	205021
111955	205022
235644	365626
235672	371328
235672	371329
157523	160308
92556	287805
100022	100023
18589	111772
18589	111773
19877	234558
106468	106838
106468	232971
334903	342694
241561	247894
214632	226694
136533	139984
149921	332110
149921	332111
3893	21641
3893	77813
3893	101314
3893	156382
3893	214363
141743	228125
166701	172581
49023	128850
100767	356108
183436	183437
183436	183439
183436	183440
183436	183442
183436	269709
30417	75529
141209	311014
270443	403688
58992	134259
128549	330657
128549	391607
87760	87763
40833	113599
332469	332470
337065	351572
111690	215980
358952	411618
66984	66985
400783	411152
9820	24303
9820	35324
9820	179131
9820	230004
89364	166142
89364	319878
77924	131330
19216	54614
19216	62090
38687	80496
4972	7538
4972	96785
4972	96787
4972	96788
4972	96794
155807	237910
371290	371293
80851	202850
101561	131261
101561	213085
86303	118914
86303	173241
160077	332955
174950	311539
4462	11705
4462	86279
4462	185204
4462	302152
86013	91539
67487	78007
67487	100359
67487	205986
219505	415907
36459	53951
101610	136863
163739	177217
163739	190142
27090	100791
80161	165659
29981	29984
271169	314040
42139	57484
42139	283691
54248	76510
92809	171801
110993	126015
288439	313887
41107	131136
116980	212872
228971	359350
319116	319117
27337	200869
196207	196209
112739	114809
112739	114810
131144	131145
156030	175027
180049	255419
239180	271169
239180	314040
22803	28287
22803	48598
22803	79598
22803	86429
22803	181556
22803	204095
146093	146097
26029	28514
346223	365959
41331	134262
9074	80242
9074	110411
232825	232828
24946	25173
517	102425
24907	30726
24907	88778
24907	136129
24907	270940
111772	111773
141760	141761
138948	138949
38755	300530
309272	309273
232612	411804
45116	49815
45116	77813
45116	261478
45116	324946
45116	358667
45116	363284
45116	383554
89564	89565
18660	34262
207890	369954
127458	318038
230781	258832
230781	288325
230781	307438
328704	373316
47893	108515
69064	107917
121953	374789
82293	82294
82293	247746
82293	251750
82293	347747
97492	365865
31449	130978
420600	420601
302002	302003
59885	284571
318281	349871
93713	146336
93713	150324
172337	181431
8325	10821
8325	39207
8325	75881
66796	343743
211580	211581
86660	133657
146567	317083
6952	150473
22293	65410
258881	258883
236500	322251
29720	38876
187287	199868
315045	373348
83640	91892
137291	137316
26854	143736
26854	220731
328513	338769
419357	424235
38036	59000
53980	63506
319824	320839
319824	353943
319824	361635
76913	271806
108063	108783
108063	364370
298726	358016
55308	336744
202490	240567
137312	144191
83697	392046
84846	141856
38507	70460
38507	86725
38507	112130
38507	122457
38507	162985
38507	286733
19009	126332
19009	292054
265623	265628
42086	286370
308185	343242
332653	336042
366582	421819
18247	55542
18247	213137
18247	267702
18247	315106
18247	417291
23904	31145
23904	34639
23904	50999
44836	93904
125838	141825
51701	116271
62120	174677
21173	28114
